UsuarioID,Nome,Email,Telefone,DataNascimento,Genero,CidadeID,CEP,Profissao,RendaFamiliar,Fumante,DataCadastro,DataUltimaAtualizacao,Ativo
1,Gabrielly Azevedo,heloisa62@example.com,(081) 8790 5073,2002-04-16,F,330,66206324,Portuário,1991.88,0,2024-02-20 13:10:54.323997,2025-04-08 12:12:59.950547,1
2,Giovanna Pastor,ucostela@example.org,+55 (061) 9072 9485,1953-11-06,F,189,34157-517,Juiz ou árbitro de futebol,4356.3,0,2024-07-13 15:56:47.425396,2025-05-02 06:45:06.989217,1
3,Igor Farias,da-rochahenry@example.org,51 3666 7313,1951-04-03,M,179,69233-067,Saxofonista,2983.43,0,2024-06-06 22:32:57.188836,2024-12-21 14:49:58.294624,1
4,Alexandre da Mota,xleao@example.org,0500-628-6338,1960-12-14,F,218,71407724,Vendedor,3554.65,0,2024-06-12 16:48:08.345832,2025-04-01 22:18:46.920028,1
5,Davi Lucca Nogueira,luiz-fernando15@example.org,0500 754 7011,1989-09-26,M,86,84084-945,Delegado,2991.64,0,2024-11-29 23:39:01.070792,2025-06-04 04:31:40.780149,1
6,Erick Camargo,nina31@example.net,+55 (061) 1435-9393,1965-06-15,M,299,16753-044,Engenheiro mecânico,4108.5,1,2024-07-23 06:55:19.195290,2024-10-06 11:08:04.371995,1
7,Amanda Cardoso,vnascimento@example.com,0300 427 2828,1955-07-21,M,174,92854286,Apresentador,825.68,0,2025-04-09 22:56:40.152535,2024-12-14 09:58:12.088972,1
8,Luiz Henrique Vieira,kamillyda-luz@example.com,31 1565-9604,1957-06-28,F,413,38381-827,Advogado,1465.7,1,2024-06-01 06:13:08.123803,2024-12-25 23:53:58.796015,1
9,Lorenzo Almeida,da-cunhahellena@example.com,+55 (071) 2874 4770,1956-07-21,F,364,47561-769,Radiologista,3672.18,0,2025-05-17 13:32:45.118221,2025-03-10 10:21:26.605767,1
10,João Aragão,knascimento@example.com,51 4813 3578,1980-05-31,F,289,98805878,Engenheiro de minas,1073.02,0,2023-10-17 05:45:07.709080,2025-03-05 04:02:54.020718,1
11,Otto Moura,nalmeida@example.com,+55 (031) 9924-4235,1951-08-20,M,174,03198363,Infectologista,2286.35,0,2023-12-19 22:17:57.057772,2025-01-03 06:11:53.799500,1
12,Benício Melo,andrealves@example.com,+55 (061) 6884 3939,1948-01-25,F,101,90280-484,Parteira tradicional,2901.05,0,2023-10-26 23:18:58.659339,2025-03-21 12:59:51.658829,1
13,Maria Cecília Moraes,mariahrodrigues@example.net,+55 21 9606-2638,1961-03-12,M,373,83395-769,Profissional de manutenção industrial,1970.28,0,2025-04-23 13:47:37.859426,2025-03-09 23:02:32.589540,1
14,Bianca Machado,isadorasiqueira@example.org,+55 (011) 3919-2947,2000-06-13,F,232,74959603,Clínico geral,2109.53,0,2024-01-02 15:51:10.644522,2024-10-15 12:36:28.500780,1
15,Hellena Pimenta,teixeiracatarina@example.net,21 7454-5603,1957-04-18,M,109,47692-096,Guitarrista,3414.52,0,2024-04-26 14:55:47.707077,2024-10-23 09:57:49.255064,1
16,Vicente da Rosa,joao-vitorvasconcelos@example.net,+55 71 8686 5927,1952-01-29,M,94,47427201,Lixeiro/Coletor de lixo,4937.66,1,2024-02-18 07:06:20.922751,2025-05-23 12:37:51.871443,1
17,Ana Araújo,ribeirolucas-gabriel@example.com,0300-948-1296,2004-07-14,F,81,53610103,Saxofonista,1846.0,0,2025-04-20 12:00:15.796624,2024-12-05 22:37:37.195980,1
18,Maria Liz Lima,gomesbella@example.net,(021) 5482 7719,1996-08-17,M,374,62867-715,Clínico geral,2236.06,0,2024-04-17 09:35:51.711608,2025-04-04 11:56:09.859778,1
19,Bianca Mendonça,alanaazevedo@example.org,(084) 9119 9413,1977-07-23,F,110,91286-567,Protético dentário,2068.07,0,2023-11-16 06:47:00.302141,2025-04-11 15:03:16.216099,1
20,Sra. Ana Sophia Barros,carlos-eduardo62@example.net,71 4477 2911,2002-01-21,F,249,85331377,Co-piloto,888.3,1,2023-08-04 17:30:32.758629,2025-06-24 14:28:52.888538,1
21,Sr. Benício Cardoso,barrosyasmin@example.com,71 8440-1470,1991-01-24,M,216,26303934,Dermatologista,3199.84,1,2024-06-17 07:20:19.596167,2025-07-07 05:58:42.562134,1
22,Yan Silva,jose-miguelmoraes@example.org,84 2319-6172,1980-11-20,F,274,73735838,Capataz,4756.94,0,2024-05-07 10:37:12.919322,2025-02-26 20:46:51.131832,1
23,Dr. Vinícius da Rocha,maria-luiza18@example.org,11 8828 4427,1959-03-24,M,433,24062-451,Webmaster,4955.84,1,2025-04-30 14:56:01.268045,2025-06-26 08:06:43.421479,1
24,Sofia Pereira,borgesstella@example.org,+55 71 8045 5912,1955-11-14,F,427,80682-552,Projetista mecânico,1928.73,0,2023-11-01 06:49:18.046274,2024-11-13 18:34:40.160536,1
